MEAS_DT,BURST_ID,VIB-TOP,VIB-BOT,CUR-MTR
2024-01-10 00:00:00.000,B24-00001,0.116967,-0.176403,192.33873
2024-01-10 00:00:00.100,B24-00001,0.03008,-0.210895,217.00433
2024-01-10 00:00:00.200,B24-00001,-0.045794,-0.029424,197.51062
2024-01-10 00:00:00.300,B24-00001,0.047519,0.258642,156.60717
2024-01-10 00:00:00.400,B24-00001,0.020351,0.173777,93.236934
2024-01-10 00:00:00.500,B24-00001,-0.039129,-0.124644,23.663881
2024-01-10 00:00:00.600,B24-00001,0.006727,-0.139971,-49.305445
2024-01-10 00:00:00.700,B24-00001,0.000142,-0.083375,-118.64366
2024-01-10 00:00:00.800,B24-00001,-0.10298,0.016477,-175.70963
2024-01-10 00:00:00.900,B24-00001,0.00172,0.215761,-213.79593
2024-01-10 00:00:01.000,B24-00001,0.110246,0.098777,-206.08881
2024-01-10 00:00:01.100,B24-00001,-0.087199,-0.223065,-171.62802
2024-01-10 00:00:01.200,B24-00001,-0.070521,-0.21144,-115.67391
2024-01-10 00:00:01.300,B24-00001,-0.024177,0.017919,-46.253448
2024-01-10 00:00:01.400,B24-00001,-0.111733,0.139955,25.225046
2024-01-10 00:00:01.500,B24-00001,0.037301,0.197857,99.004638
2024-01-10 00:00:01.600,B24-00001,0.06968,0.018351,159.9287
2024-01-10 00:00:01.700,B24-00001,-0.054172,-0.226471,208.76339
2024-01-10 00:00:01.800,B24-00001,-0.03628,-0.150756,217.32595
2024-01-10 00:00:01.900,B24-00001,-0.067944,0.060755,188.27095
2024-01-10 00:00:02.000,B24-00001,-0.064345,0.166329,138.87979
2024-01-10 00:00:02.100,B24-00001,-0.013789,0.15946,69.887766
2024-01-10 00:00:02.200,B24-00001,-0.035508,-0.05028,-1.156211
2024-01-10 00:00:02.300,B24-00001,-0.010088,-0.2669,-76.082358
2024-01-10 00:00:02.400,B24-00001,-0.062642,-0.129844,-141.2641
2024-01-10 00:00:02.500,B24-00001,-0.006443,0.17674,-195.12775
2024-01-10 00:00:02.600,B24-00001,0.072439,0.266851,-219.31734
2024-01-10 00:00:02.700,B24-00001,-0.085008,0.015501,-199.54994
2024-01-10 00:00:02.800,B24-00001,-0.056182,-0.168354,-157.70175
2024-01-10 00:00:02.900,B24-00001,-0.015617,-0.147157,-93.02808
2024-01-10 00:00:03.000,B24-00001,-0.128888,-0.035759,-22.295597
2024-01-10 00:00:03.100,B24-00001,0.087891,0.191079,52.171356
2024-01-10 00:00:03.200,B24-00001,0.19158,0.14998,122.96428
2024-01-10 00:00:03.300,B24-00001,-0.007227,-0.135713,181.12554
2024-01-10 00:00:03.400,B24-00001,0.043114,-0.195659,219.93151
2024-01-10 00:00:03.500,B24-00001,0.018841,-0.08686,212.35695
2024-01-10 00:00:03.600,B24-00001,-0.111597,0.091329,176.50463
2024-01-10 00:00:03.700,B24-00001,0.034531,0.275627,118.0221
2024-01-10 00:00:03.800,B24-00001,0.066967,0.096949,45.694237
2024-01-10 00:00:03.900,B24-00001,-0.04576,-0.203526,-28.200987
2024-01-10 00:00:04.000,B24-00001,0.041683,-0.178515,-103.07421
2024-01-10 12:47:42.113,B24-00002,0.053575,0.159723,28.972868
2024-01-10 12:47:42.213,B24-00002,0.098341,0.19796,-46.821004
2024-01-10 12:47:42.313,B24-00002,-0.011195,-0.05675,-120.2773
2024-01-10 12:47:42.413,B24-00002,0.082469,-0.116275,-166.03996
2024-01-10 12:47:42.513,B24-00002,-0.050659,-0.141934,-213.14469
2024-01-10 12:47:42.613,B24-00002,-0.1161,-0.018944,-207.42025
2024-01-10 12:47:42.713,B24-00002,0.046536,0.244895,-168.09084
2024-01-10 12:47:42.813,B24-00002,0.014611,0.107691,-118.82903
2024-01-10 12:47:42.913,B24-00002,0.014588,-0.113948,-50.999647
2024-01-10 12:47:43.013,B24-00002,0.024068,-0.133986,19.517901
2024-01-10 12:47:43.113,B24-00002,-0.04504,-0.117365,100.21068
2024-01-10 12:47:43.213,B24-00002,0.018289,0.100197,150.56195
2024-01-10 12:47:43.313,B24-00002,0.002338,0.185347,199.9928
2024-01-10 12:47:43.413,B24-00002,0.05303,-0.002062,217.53814
2024-01-10 12:47:43.513,B24-00002,0.108161,-0.079672,181.39746
2024-01-10 12:47:43.613,B24-00002,-0.103759,-0.14878,139.09234
2024-01-10 12:47:43.713,B24-00002,-0.053986,-0.025517,75.148353
2024-01-10 12:47:43.813,B24-00002,0.041461,0.219861,9.004713
2024-01-10 12:47:43.913,B24-00002,-0.06677,0.098767,-71.201691
2024-01-10 12:47:44.013,B24-00002,0.097296,-0.064118,-131.33849
2024-01-10 12:47:44.113,B24-00002,0.080596,-0.149404,-177.07255
2024-01-10 12:47:44.213,B24-00002,-0.110116,-0.180546,-216.01834
2024-01-10 12:47:44.313,B24-00002,0.052792,0.107952,-191.47971
2024-01-10 12:47:44.413,B24-00002,0.053178,0.230715,-153.05819
2024-01-10 12:47:44.513,B24-00002,-0.085684,0.021156,-98.175776
2024-01-10 12:47:44.613,B24-00002,0.052689,-0.0716,-33.267502
2024-01-10 12:47:44.713,B24-00002,-0.022776,-0.142013,40.96127
2024-01-10 12:47:44.813,B24-00002,-0.136729,-0.101607,113.25647
2024-01-10 12:47:44.913,B24-00002,0.092687,0.175413,156.39796
2024-01-10 12:47:45.013,B24-00002,0.092108,0.14133,206.93245
2024-01-10 12:47:45.113,B24-00002,0.020594,-0.096521,203.8702
2024-01-10 12:47:45.213,B24-00002,0.090042,-0.09324,165.57028
2024-01-10 12:47:45.313,B24-00002,-0.090532,-0.089584,120.3834
2024-01-10 12:47:45.413,B24-00002,-0.135434,0.022802,56.760676
2024-01-10 12:47:45.513,B24-00002,0.002394,0.209995,-9.568335
2024-01-10 12:47:45.613,B24-00002,0.004733,0.078535,-87.835918
2024-01-10 12:47:45.713,B24-00002,0.093459,-0.106398,-134.96579
2024-01-11 01:35:23.826,B24-00003,0.052827,0.028705,-109.87891
2024-01-11 01:35:23.926,B24-00003,-0.012976,0.009166,-97.007763
2024-01-11 01:35:24.026,B24-00003,-0.056505,-0.062371,-77.23535
2024-01-11 01:35:24.126,B24-00003,-0.027418,0.046473,-42.368775
2024-01-11 01:35:24.226,B24-00003,-0.017291,0.083326,-2.476454
2024-01-11 01:35:24.326,B24-00003,0.013568,-0.070079,43.260699
2024-01-11 01:35:24.426,B24-00003,0.050375,-0.035543,93.215596
2024-01-11 01:35:24.526,B24-00003,-0.00814,0.028365,105.70873
2024-01-11 01:35:24.626,B24-00003,-0.044062,-0.067593,110.77358
2024-01-11 01:35:24.726,B24-00003,-0.021593,-0.054503,104.4916
2024-01-11 01:35:24.826,B24-00003,-0.086432,0.053138,85.335265
2024-01-11 01:35:24.926,B24-00003,0.012194,0.053524,56.259639
2024-01-11 01:35:25.026,B24-00003,0.034991,-0.037654,14.272215
2024-01-11 01:35:25.126,B24-00003,-0.083253,-0.093092,-26.459339
2024-01-11 01:35:25.226,B24-00003,0.029315,0.020156,-79.973946
2024-01-11 01:35:25.326,B24-00003,0.007074,0.08579,-103.85169
2024-01-11 01:35:25.426,B24-00003,-0.032231,-0.033817,-107.62216
2024-01-11 01:35:25.526,B24-00003,0.027805,-0.032341,-107.64517
2024-01-11 01:35:25.626,B24-00003,-0.072093,-0.003368,-90.073477
2024-01-11 01:35:25.726,B24-00003,-0.026237,-0.065935,-67.014225
2024-01-11 01:35:25.826,B24-00003,0.04203,-0.016254,-26.738408
2024-01-11 01:35:25.926,B24-00003,-0.028008,0.022541,12.280942
2024-01-11 01:35:26.026,B24-00003,0.012773,-0.008579,63.815482
2024-01-11 01:35:26.126,B24-00003,-0.027259,-0.000177,102.46671
2024-01-11 14:23:04.240,B24-00004,-0.037767,-0.004662,200.49086
2024-01-11 14:23:04.340,B24-00004,0.033736,0.176457,204.71635
2024-01-11 14:23:04.440,B24-00004,0.021043,0.127513,175.57325
2024-01-11 14:23:04.540,B24-00004,0.015287,-0.086576,128.48319
2024-01-11 14:23:04.640,B24-00004,0.035984,-0.140311,63.394792
2024-01-11 14:23:04.740,B24-00004,-0.051357,-0.065845,-3.929377
2024-01-11 14:23:04.840,B24-00004,0.046849,0.111925,-77.562937
2024-01-11 14:23:04.940,B24-00004,0.108361,0.21348,-138.60585
2024-01-11 14:23:05.040,B24-00004,0.008509,0.029137,-190.7182
2024-01-11 14:23:05.140,B24-00004,0.098007,-0.148429,-211.22303
2024-01-12 03:10:43.253,B24-00005,-0.043644,-0.027867,58.613784
2024-01-12 03:10:43.353,B24-00005,-0.01316,-0.066775,17.58981
2024-01-12 03:10:43.453,B24-00005,-0.009346,0.035722,-22.138717
2024-01-12 03:10:43.553,B24-00005,0.036135,-0.032749,-76.5133
2024-01-12 03:10:43.653,B24-00005,0.066823,-0.014289,-104.15877
2024-01-12 03:10:43.753,B24-00005,-0.020881,0.026322,-108.13714
2024-01-12 03:10:43.853,B24-00005,-0.062173,-0.086382,-108.30737
2024-01-12 03:10:43.953,B24-00005,-0.036469,0.01976,-91.560375
2024-01-12 03:10:44.053,B24-00005,-0.033085,0.072813,-69.346317
2024-01-12 03:10:44.153,B24-00005,0.047659,-0.044216,-30.608896
2024-01-12 03:10:44.253,B24-00005,0.065881,-0.030637,7.634641
2024-01-12 03:10:44.353,B24-00005,-0.034675,-0.041253,58.809645
2024-01-12 03:10:44.453,B24-00005,-0.01584,-0.004673,101.09378
2024-01-12 03:10:44.553,B24-00005,-0.029872,0.006726,107.80622
2024-01-12 03:10:44.653,B24-00005,-0.083278,-0.019273,111.29559
2024-01-12 03:10:44.753,B24-00005,0.022716,0.10408,99.122298
2024-01-12 03:10:44.853,B24-00005,0.011624,0.03268,79.534421
2024-01-12 03:10:44.953,B24-00005,-0.028056,-0.093955,45.624619
2024-01-12 03:10:45.053,B24-00005,0.008036,0.049948,5.942226
2024-01-12 03:10:45.153,B24-00005,-0.030781,0.060098,-38.492684
2024-01-12 03:10:45.253,B24-00005,0.013111,-0.073178,-90.70171
2024-01-12 03:10:45.353,B24-00005,0.001088,-0.021998,-105.96777
2024-01-12 03:10:45.453,B24-00005,-0.049094,-0.001437,-110.00527
2024-01-12 03:10:45.553,B24-00005,-0.002874,-0.020624,-104.38098
2024-01-12 03:10:45.653,B24-00005,-0.008982,0.04527,-85.868369
2024-01-12 03:10:45.753,B24-00005,-0.00024,0.005614,-58.43497
2024-01-12 03:10:45.853,B24-00005,0.016165,-0.038471,-17.731669
2024-01-12 03:10:45.953,B24-00005,-0.046233,-0.023076,21.420362
2024-01-12 03:10:46.053,B24-00005,-0.066578,-0.06371,76.268324
2024-01-12 03:10:46.153,B24-00005,-0.030713,-0.012892,105.09123
2024-01-12 03:10:46.253,B24-00005,0.009841,0.047711,108.90807
2024-01-12 03:10:46.353,B24-00005,0.051235,-0.008692,109.5704
2024-01-12 03:10:46.453,B24-00005,0.033876,0.017864,93.602907
2024-01-12 03:10:46.553,B24-00005,-0.012298,-0.007182,71.555861
2024-01-12 03:10:46.653,B24-00005,-0.042316,-0.067331,32.342199
2024-01-12 03:10:46.753,B24-00005,-0.045313,0.042568,-5.83613
2024-01-12 03:10:46.853,B24-00005,-0.013024,-0.00163,-56.937224
2024-01-12 03:10:46.953,B24-00005,0.067187,-0.095669,-99.654329
2024-01-12 03:10:47.053,B24-00005,0.065279,0.030806,-106.13002
2024-01-12 03:10:47.153,B24-00005,-0.010106,0.041115,-110.31391
2024-01-12 03:10:47.253,B24-00005,0.026281,0.003059,-98.714125
2024-01-12 03:10:47.353,B24-00005,-0.016703,0.079432,-79.239974
2024-01-12 03:10:47.453,B24-00005,-0.043485,0.033315,-45.080906
2024-01-12 03:10:47.553,B24-00005,0.042323,0.007759,-5.251766
2024-01-12 03:10:47.653,B24-00005,0.012407,0.007294,38.985257
2024-01-12 03:10:47.753,B24-00005,0.029267,-0.051176,91.815959
